"","tconst","collabdens","collabcentr"
"1","tt0011901","0","0"
"2","tt0012402","0","0"
"3","tt0012557","0","0"
"4","tt0012646","0","0"
"5","tt0012875","0","0"
"6","tt0012878","0","0"
"7","tt0012929","0","0"
"8","tt0012966","0","0"
"9","tt0012973","0","0"
"10","tt0012979","0","0"
"11","tt0012980","0","0"
"12","tt0013035","0","0"
"13","tt0013047","0","0"
"14","tt0013051","0","0"
"15","tt0013058","0","0"
"16","tt0013059","0","0"
"17","tt0013063","0","0"
"18","tt0013086","0","0"
"19","tt0013095","0","0"
"20","tt0013100","0","0"
"21","tt0013109","0","0"
"22","tt0013119","0","0"
"23","tt0013130","0","0"
"24","tt0013145","0","0"
"25","tt0013146","0","0"
"26","tt0013154","0","0"
"27","tt0013162","0","0"
"28","tt0013166","0","0"
"29","tt0013169","0","0"
"30","tt0013184","0","0"
"31","tt0013202","0","0"
"32","tt0013204","0","0"
"33","tt0013221","0","0"
"34","tt0013223","0","0"
"35","tt0013233","0","0"
"36","tt0013235","0","0"
"37","tt0013247","0","0"
"38","tt0013321","0","0"
"39","tt0013391","0","0"
"40","tt0013402","0","0"
"41","tt0013418","0","0"
"42","tt0013444","0","0"
"43","tt0013469","0","0"
"44","tt0013487","0","0"
"45","tt0013488","0","0"
"46","tt0013491","0","0"
"47","tt0013496","0","0"
"48","tt0013517","0","0"
"49","tt0013556","0","0"
"50","tt0013572","0","0"
"51","tt0013590","0","0"
"52","tt0013593","0","0"
"53","tt0013603","0","0"
"54","tt0013609","0","0"
"55","tt0013614","0","0"
"56","tt0013619","0","0"
"57","tt0013633","0","0"
"58","tt0013637","0","0"
"59","tt0013649","0","0"
"60","tt0013655","0","0"
"61","tt0013661","0","0"
"62","tt0013673","0","0"
"63","tt0013674","0","0"
"64","tt0013678","0","0"
"65","tt0013700","0","0"
"66","tt0013735","0","0"
"67","tt0013736","0","0"
"68","tt0013741","0","0"
"69","tt0013747","0","0"
"70","tt0013759","0","0"
"71","tt0013763","0","0"
"72","tt0013773","0","0"
"73","tt0013845","0","0"
"74","tt0013849","0","0"
"75","tt0013855","0","0"
"76","tt0013870","0","0"
"77","tt0013891","0","0"
"78","tt0013892","0","0"
"79","tt0013909","0","0"
"80","tt0013986","0","0"
"81","tt0014007","0","0"
"82","tt0014021","0","0"
"83","tt0014028","0","0"
"84","tt0014031","0","0"
"85","tt0014037","0","0"
"86","tt0014040","0","0"
"87","tt0014045","0","0"
"88","tt0014046","0","0"
"89","tt0014068","0","0"
"90","tt0014086","0","0"
"91","tt0014093","0","0"
"92","tt0014133","0","0"
"93","tt0014164","0","0"
"94","tt0014171","0","0"
"95","tt0014175","0","0"
"96","tt0014190","0","0"
"97","tt0014191","0","0"
"98","tt0014193","0","0"
"99","tt0014203","0","0"
"100","tt0014235","0","0"
"101","tt0014255","0","0"
"102","tt0014283","0","0"
"103","tt0014303","0","0"
"104","tt0014308","0","0"
"105","tt0014321","0","0"
"106","tt0014376","0","0"
"107","tt0014388","0","0"
"108","tt0014391","0","0"
"109","tt0014394","0","0"
"110","tt0014413","0","0"
"111","tt0014416","0","0"
"112","tt0014417","0","0"
"113","tt0014426","0","0"
"114","tt0014437","0","0"
"115","tt0014507","0","0"
"116","tt0014508","0","0"
"117","tt0014509","0","0"
"118","tt0014539","0","0"
"119","tt0014543","0","0"
"120","tt0014547","0","0"
"121","tt0014555","0","0"
"122","tt0014567","0","0"
"123","tt0014568","0","0"
"124","tt0014569","0","0"
"125","tt0014572","0","0"
"126","tt0014578","0","0"
"127","tt0014601","0","0"
"128","tt0014636","0","0"
"129","tt0014667","0","0"
"130","tt0014668","0","0"
"131","tt0014681","0","0"
"132","tt0014699","0","0"
"133","tt0014703","0","0"
"134","tt0014704","0","0"
"135","tt0014747","0","0"
"136","tt0014753","0","0"
"137","tt0014824","0","0"
"138","tt0014825","0","0"
"139","tt0014826","0","0"
"140","tt0014829","0","0"
"141","tt0014862","0","0"
"142","tt0014875","0","0"
"143","tt0014900","0","0"
"144","tt0014901","0","0"
"145","tt0014902","0","0"
"146","tt0014912","0","0"
"147","tt0014925","0","0"
"148","tt0014937","0","0"
"149","tt0014942","0","0"
"150","tt0014950","0","0"
"151","tt0014965","0","0"
"152","tt0014970","0","0"
"153","tt0014977","0","0"
"154","tt0014981","0","0"
"155","tt0014999","0","0"
"156","tt0015000","0","0"
"157","tt0015016","0","0"
"158","tt0015024","0","0"
"159","tt0015036","0","0"
"160","tt0015059","0","0"
"161","tt0015060","0","0"
"162","tt0015068","0","0"
"163","tt0015094","0","0"
"164","tt0015104","0","0"
"165","tt0015110","0","0"
"166","tt0015112","0","0"
"167","tt0015116","0","0"
"168","tt0015119","0","0"
"169","tt0015132","0","0"
"170","tt0015136","0","0"
"171","tt0015139","0","0"
"172","tt0015174","1","0"
"173","tt0015175","1","0"
"174","tt0015191","0","0"
"175","tt0015194","0","0"
"176","tt0015217","0","0"
"177","tt0015221","0","0"
"178","tt0015269","0","0"
"179","tt0015275","0","0"
"180","tt0015278","0","0"
"181","tt0015279","0","0"
"182","tt0015305","0","0"
"183","tt0015335","0","0"
"184","tt0015339","0","0"
"185","tt0015349","0","0"
"186","tt0015352","0","0"
"187","tt0015356","0","0"
"188","tt0015405","0","0"
"189","tt0015406","0","0"
"190","tt0015408","0","0"
"191","tt0015409","0","0"
"192","tt0015415","0","0"
"193","tt0015426","0","0"
"194","tt0015446","0","0"
"195","tt0015455","0","0"
"196","tt0015465","0","0"
"197","tt0015493","0","0"
"198","tt0015501","0","0"
"199","tt0015508","0","0"
"200","tt0015515","0","0"
"201","tt0015533","0","0"
"202","tt0015575","0","0"
"203","tt0015591","0","0"
"204","tt0015592","0","0"
"205","tt0015602","0","0"
"206","tt0015608","0","0"
"207","tt0015609","0","0"
"208","tt0015629","0","0"
"209","tt0015632","0","0"
"210","tt0015635","0","0"
"211","tt0015645","0","0"
"212","tt0015646","0","0"
"213","tt0015662","0","0"
"214","tt0015668","0","0"
"215","tt0015670","0","0"
"216","tt0015692","0","0"
"217","tt0015697","0","0"
"218","tt0015700","0","0"
"219","tt0015701","0","0"
"220","tt0015703","0","0"
"221","tt0015717","0","0"
"222","tt0015721","0","0"
"223","tt0015727","0","0"
